,name,pdf_url,pmid,doi
768,open_access/34890936,,34890936,10.1016/j.ejrad.2021.110095
770,open_access/34876340,,34876340,10.1016/j.acra.2021.10.026
773,open_access/34896884,,34896884,10.1016/j.compbiomed.2021.105120
777,open_access/34862801,,34862801,10.1111/1475-6773.13921
780,open_access/34866497,,34866497,10.1080/10255842.2021.1975682
789,open_access/34859543,,34859543,10.1002/jemt.23991
790,open_access/34859944,,34859944,10.1111/jocd.14653
794,open_access/34862241,,34862241,10.2215/CJN.07830621
799,open_access/34861802,,34861802,10.1177/0306624X211062139
800,open_access/34871620,,34871620,10.1016/j.kint.2021.11.014
810,open_access/34864210,,34864210,10.1016/j.jbi.2021.103969
814,open_access/34871742,,34871742,10.1016/j.neuroscience.2021.11.045
817,open_access/34864143,,34864143,10.1016/j.biosystems.2021.104585
818,open_access/34855599,,34855599,10.1109/TCBB.2021.3132292
820,open_access/34798623,,34798623,10.1088/1361-6560/ac3b66
822,open_access/35041286,,35041286,10.1002/smtd.202101220
824,open_access/34855228,,34855228,10.1002/pros.24272
825,open_access/34859369,,34859369,10.1007/s11517-021-02459-y
830,open_access/34854930,,34854930,10.1007/s00330-021-08370-2
832,open_access/34854943,,34854943,10.1007/s00246-021-02790-z
837,open_access/34855002,,34855002,10.1007/s10140-021-02000-6
840,open_access/34854737,,34854737,10.2217/fon-2021-1059
843,open_access/34875472,,34875472,10.1016/j.jns.2021.120079
846,open_access/35049480,,35049480,10.1192/bjp.2021.169
850,open_access/34855605,,34855605,10.1109/JBHI.2021.3132173
851,open_access/34826252,,34826252,10.1259/dmfr.20210383
853,open_access/34857514,,34857514,10.3174/ajnr.A7363
859,open_access/34998515,,34998515,10.1016/j.artmed.2021.102224
865,open_access/34850259,,34850259,10.1007/s00247-021-05240-3
868,open_access/34847753,,34847753,10.1177/09544119211055870
875,open_access/34863965,,34863965,10.1016/j.ijsu.2021.106183
884,open_access/34859792,,34859792,10.1684/epd.2021.1392
885,open_access/34875406,,34875406,10.1016/j.compbiomed.2021.105090
888,open_access/34875408,,34875408,10.1016/j.compbiomed.2021.105070
889,open_access/34850248,,34850248,10.1007/s00259-021-05626-3
907,open_access/34883382,,34883382,10.1016/j.cmpb.2021.106568
922,open_access/34846200,,34846200,10.1148/radiol.2021211270
925,open_access/34872010,,34872010,10.1016/j.compbiomed.2021.105096
926,open_access/34048339,,34048339,10.1109/TMI.2021.3084748
927,open_access/34846862,,34846862,10.1021/acs.analchem.1c03650
933,open_access/34890873,,34890873,10.1016/j.saa.2021.120676
934,open_access/34264825,,34264825,10.1109/TMI.2021.3097665
938,open_access/34906484,,34906484,10.1016/j.gim.2021.10.019
947,open_access/34264823,,34264823,10.1109/TMI.2021.3097319
948,open_access/34197319,,34197319,10.1109/TMI.2021.3093982
949,open_access/34851743,,34851743,10.1089/big.2020.0256
954,open_access/35071611,,35071611,10.4103/jehp.jehp_138_21
955,open_access/34871817,,34871817,10.1016/j.atherosclerosis.2021.11.028
957,open_access/34788124,,34788124,10.1259/dmfr.20210341
967,open_access/34856196,,34856196,10.1016/S2468-1253(21)00372-1
974,open_access/34845751,,34845751,10.1002/jor.25213
978,open_access/34849619,,34849619,10.1093/brain/awab425
981,open_access/34842131,,34842131,10.1017/S003329172100489X
984,open_access/34845590,,34845590,10.1007/s11548-021-02533-8
986,open_access/34797687,,34797687,10.1259/bjr.20210748
990,open_access/34845886,,34845886,10.1515/bmt-2021-0112
995,open_access/34766623,,34766623,10.1002/mp.15341
996,open_access/34842320,,34842320,10.1002/jmri.28008
997,open_access/34730231,,34730231,10.1002/mp.15332
1001,open_access/34857429,,34857429,10.1016/j.jjcc.2021.11.006
1006,open_access/34864427,,34864427,10.1016/j.ejrad.2021.110071
1009,open_access/34902792,,34902792,10.1016/j.media.2021.102315
1012,open_access/34852918,,34852918,10.1016/j.crad.2021.10.019
1023,open_access/34896686,,34896686,10.1016/j.cmpb.2021.106554
1026,open_access/34837512,,34837512,10.1007/s00330-021-08361-3
1027,open_access/34871982,,34871982,10.1016/j.thromres.2021.11.020
1036,open_access/34871894,,34871894,10.1016/j.jbiomech.2021.110878
1038,open_access/34843878,,34843878,10.1016/j.resuscitation.2021.11.029
1044,open_access/34843893,,34843893,10.1016/j.neuroscience.2021.11.034
1047,open_access/34757945,,34757945,10.1088/1361-6560/ac3841
1053,open_access/34825801,,34825801,10.23736/S0392-9590.21.04771-4
1064,open_access/34825850,,34825850,10.1080/03091902.2021.1992519
1066,open_access/34826299,,34826299,10.1109/JBHI.2021.3131103
1077,open_access/34861493,,34861493,10.1016/j.drugalcdep.2021.109185
1085,open_access/34695815,,34695815,10.1088/1741-2552/ac3315
1086,open_access/34864299,,34864299,10.1016/j.compbiomed.2021.105039
1089,open_access/34821967,,34821967,10.1007/s00330-021-08380-0
1095,open_access/34850171,,34850171,10.1093/neuonc/noab272
1097,open_access/34824449,,34824449,10.1038/s41416-021-01640-2
1100,open_access/34823258,,34823258,10.1055/a-1706-6174
1102,open_access/34821963,,34821963,10.1007/s00261-021-03350-y
1107,open_access/34822131,,34822131,10.1007/s13246-021-01083-2
1109,open_access/34713495,,34713495,10.1111/jgh.15725
1110,open_access/34847427,,34847427,10.1016/j.eplepsyres.2021.106818
1116,open_access/34767312,,34767312,10.1111/hepr.13729
1126,open_access/34820867,,34820867,10.1002/jum.15889
1128,open_access/34949457,,34949457,10.1016/j.jtcvs.2021.10.060
1129,open_access/34871936,,34871936,10.1016/j.ejrad.2021.110068
1131,open_access/34839183,,34839183,10.1016/j.compbiomed.2021.105055
1132,open_access/34817885,,34817885,10.1111/epi.17059
1133,open_access/34820853,,34820853,10.1002/nur.22199
1136,open_access/34856519,,34856519,10.1016/j.ejrad.2021.110070
1143,open_access/34817635,,34817635,10.1007/s00066-021-01874-2
1149,open_access/34818194,,34818194,10.1109/TNNLS.2021.3127497
1157,open_access/34815236,,34815236,10.1136/bjophthalmol-2021-320284
1163,open_access/34813275,,34813275,10.1021/acsnano.1c06429
1165,open_access/34812674,,34812674,10.1148/radiol.2021211483
1166,open_access/34280097,,34280097,10.1109/TUFFC.2021.3098308
1168,open_access/34813482,,34813482,10.1109/JBHI.2021.3129779
1169,open_access/34813462,,34813462,10.1109/TBME.2021.3129459
1170,open_access/34730265,,34730265,10.1002/ejhf.2375
1189,open_access/34826545,,34826545,10.1016/j.jpainsymman.2021.11.006
1192,open_access/34883411,,34883411,10.1016/j.jpsychires.2021.11.029
1194,open_access/34861618,,34861618,10.1016/j.cmpb.2021.106548
1198,open_access/34861602,,34861602,10.1016/j.media.2021.102307
1203,open_access/34839903,,34839903,10.1016/j.compbiomed.2021.105056
1206,open_access/34822962,,34822962,10.1016/j.neulet.2021.136358
1209,open_access/34839210,,34839210,10.1016/j.ejrad.2021.110050
1216,open_access/34807297,,34807297,10.1007/s10916-021-01782-z
1218,open_access/34836622,,34836622,10.1016/j.compbiomed.2021.105058
1220,open_access/34811644,,34811644,10.1007/s11517-021-02462-3
1221,open_access/34773321,,34773321,10.1111/ene.15181
1224,open_access/34714898,,34714898,10.1039/d1an01586a
1225,open_access/34807344,,34807344,10.1007/s11282-021-00577-9
1235,open_access/34852936,,34852936,10.1016/j.cmpb.2021.106532
1236,open_access/34802143,,34802143,10.1007/s11548-021-02525-8
1237,open_access/34802160,,34802160,10.1111/jcpt.13579
1240,open_access/34837826,,34837826,10.1016/j.eplepsyres.2021.106815
1242,open_access/34838263,,34838263,10.1016/j.compbiomed.2021.105032
1243,open_access/34818598,,34818598,10.1016/j.pdpdt.2021.102647
1244,open_access/34800150,,34800150,10.1007/s00330-021-08353-3
1245,open_access/34800160,,34800160,10.1007/s00261-021-03343-x
1249,open_access/34813889,,34813889,10.1016/j.jse.2021.10.032
1252,open_access/34815060,,34815060,10.1016/j.amjcard.2021.10.028
1255,open_access/34872006,,34872006,10.1016/j.jpsychores.2021.110681
1256,open_access/34872731,,34872731,10.1016/j.jpedsurg.2021.11.008
1257,open_access/34861529,,34861529,10.1016/j.ejon.2021.102066
1259,open_access/34814053,,34814053,10.1016/j.tice.2021.101677
1272,open_access/33989150,,33989150,10.1109/TBME.2021.3080259
1273,open_access/34879327,,34879327,10.1016/j.cmpb.2021.106533
1277,open_access/34014818,,34014818,10.1109/TBME.2021.3082152
1280,open_access/34797388,,34797388,10.1007/s00109-021-02158-z
1282,open_access/34847387,,34847387,10.1016/j.compbiomed.2021.105054
1287,open_access/34862094,,34862094,10.1016/j.ejso.2021.11.120
1292,open_access/34808304,,34808304,10.1016/j.mri.2021.11.005
1296,open_access/34810137,,34810137,10.1016/j.diii.2021.10.007
1299,open_access/34813989,,34813989,10.1016/j.clinimag.2021.11.013
1300,open_access/34632589,,34632589,10.1002/mp.15275
1304,open_access/33974537,,33974537,10.1109/TBME.2021.3077875
1307,open_access/34801613,,34801613,10.1016/j.ijcard.2021.11.039
1310,open_access/34792761,,34792761,10.1007/s13246-021-01080-5
1312,open_access/34792835,,34792835,10.1002/jmri.27995
1313,open_access/34795038,,34795038,10.1183/13993003.01344-2021
1322,open_access/34823074,,34823074,10.1016/j.anndiagpath.2021.151869
1324,open_access/34815984,,34815984,
1325,open_access/34802868,,34802868,10.1016/j.ajodo.2021.09.012
1326,open_access/34793297,,34793297,10.1109/TBME.2021.3129175
1327,open_access/34792740,,34792740,10.1007/s12012-021-09708-4
1330,open_access/34801629,,34801629,10.1016/j.radonc.2021.11.010
1331,open_access/34800631,,34800631,10.1016/j.joca.2021.11.007
1339,open_access/34665186,,34665186,10.1039/d1ay01377g
1342,open_access/34719057,,34719057,10.1002/mp.15319
1346,open_access/34852958,,34852958,10.1016/j.cmpb.2021.106525
1348,open_access/34836626,,34836626,10.1016/j.compbiomed.2021.105028
1350,open_access/34800704,,34800704,10.1016/j.jaip.2021.11.004
1353,open_access/34867175,,34867175,10.3389/fnins.2021.777329
1357,open_access/34798245,,34798245,10.1016/j.spinee.2021.11.005
1368,open_access/34801440,,34801440,10.1016/j.jmir.2021.10.004
1369,open_access/34839270,,34839270,10.1016/j.cmpb.2021.106542
1370,open_access/34788216,,34788216,10.1109/TBME.2021.3126281
1372,open_access/34787505,,34787505,10.1177/10556656211061021
1375,open_access/34823086,,34823086,10.1016/j.psychres.2021.114294
1381,open_access/34693536,,34693536,10.1002/mp.15312
1382,open_access/34783610,,34783610,10.1080/0284186X.2021.1994645
1383,open_access/34783609,,34783609,10.1177/21501351211051227
1387,open_access/34837795,,34837795,10.1016/j.ejrad.2021.110034
1389,open_access/34998510,,34998510,10.1016/j.artmed.2021.102209
1390,open_access/34783592,,34783592,10.1148/radiol.2021211027
1393,open_access/34798322,,34798322,10.1016/j.ogla.2021.11.003
1394,open_access/34783924,,34783924,10.1007/s10120-021-01261-x
1396,open_access/34861615,,34861615,10.1016/j.cmpb.2021.106535
1397,open_access/34782918,,34782918,10.1007/s00520-021-06657-0
1407,open_access/34800813,,34800813,10.1016/j.clineuro.2021.107037
1408,open_access/34783976,,34783976,10.1007/s11548-021-02485-z
1411,open_access/34784289,,34784289,10.1109/JBHI.2021.3128383
1413,open_access/34788074,,34788074,10.1089/big.2021.0187
1416,open_access/34780282,,34780282,10.1177/03635465211054506
1424,open_access/34782727,,34782727,10.1038/s41374-021-00692-5
1427,open_access/34793867,,34793867,10.1016/j.jhep.2021.11.011
1429,open_access/34781854,,34781854,10.1142/S0129065721500519
1430,open_access/34793992,,34793992,10.1016/j.wneu.2021.11.040
1432,open_access/34783053,,34783053,10.1002/pros.24266
1440,open_access/34956485,,34956485,
1442,open_access/34725880,,34725880,10.1111/ene.15166
1445,open_access/34794840,,34794840,10.1016/j.ygyno.2021.11.007
1448,open_access/34823835,,34823835,10.1016/j.artmed.2021.102213
1449,open_access/34779139,,34779139,10.1002/jhbp.1080
1451,open_access/34799076,,34799076,10.1016/j.compbiomed.2021.105027
1454,open_access/34813984,,34813984,10.1016/j.cmpb.2021.106530
1455,open_access/34800847,,34800847,10.1016/j.ijmedinf.2021.104635
1457,open_access/34779273,,34779273,10.1177/15500594211060830
1458,open_access/34773476,,34773476,10.1007/s00345-021-03879-z
1460,open_access/34802712,,34802712,10.1016/j.compbiomed.2021.105033
1464,open_access/34773490,,34773490,10.1007/s00417-021-05455-y
1466,open_access/34802713,,34802713,10.1016/j.compbiomed.2021.105031
1467,open_access/34773485,,34773485,10.1007/s00256-021-03948-9
1470,open_access/34724712,,34724712,10.1002/mp.15321
1473,open_access/34864342,,34864342,10.1016/j.cortex.2021.10.010
1474,open_access/34773449,,34773449,10.1002/jmri.27992
1476,open_access/34780873,,34780873,10.1016/j.jdent.2021.103891
1477,open_access/34780803,,34780803,10.1016/j.ajo.2021.11.008
1479,open_access/34781093,,34781093,10.1016/j.humov.2021.102891
1487,open_access/34774886,,34774886,10.1016/j.ijcard.2021.11.005
1489,open_access/34767469,,34767469,10.1200/JCO.21.01337
1490,open_access/34774997,,34774997,10.1016/j.ijrobp.2021.11.007
1494,open_access/34767108,,34767108,10.1007/s10067-021-05960-9
1506,open_access/34871837,,34871837,10.1016/j.cmpb.2021.106483
1510,open_access/34774998,,34774998,10.1016/j.ijrobp.2021.11.009
1514,open_access/34775000,,34775000,10.1016/j.ijrobp.2021.11.006
1522,open_access/34761367,,34761367,10.1007/s12021-021-09548-1
1523,open_access/34766380,,34766380,10.1002/nbm.4647
1526,open_access/34761306,,34761306,10.1007/s00167-021-06794-3
1531,open_access/34788368,,34788368,10.1093/bioinformatics/btab772
1532,open_access/34700300,,34700300,10.1088/1361-6560/ac3345
1533,open_access/34766197,,34766197,10.1007/s00261-021-03309-z
1537,open_access/34759236,,34759236,10.1097/ANA.0000000000000819
1539,open_access/34794086,,34794086,10.1016/j.tube.2021.102143
1542,open_access/34906845,,34906845,10.1016/j.clnu.2021.11.006
1543,open_access/34774515,,34774515,10.1016/j.ajpath.2021.10.012
1548,open_access/34757892,,34757892,10.1177/08850666211053796
1552,open_access/34757449,,34757449,10.1007/s00330-021-08344-4
1558,open_access/34785076,,34785076,10.1016/j.compbiomed.2021.104774
1564,open_access/34870371,,34870371,10.1002/alz.12491
