,pmid,doi,fulltextlink
58,34884166,10.3390/s21238157,https://www.mdpi.com/1424-8220/21/23/8157
59,34912476,10.1155/2021/8668978,https://www.hindawi.com/journals/dm/2021/8668978/
60,34946413,10.3390/healthcare9121687,https://www.mdpi.com/2227-9032/9/12/1687
61,34884146,10.3390/s21238142,https://www.mdpi.com/1424-8220/21/23/8142
62,34940256,10.3390/bios11120499,https://www.mdpi.com/2079-6374/11/12/499
63,34884136,10.3390/s21238131,https://www.mdpi.com/1424-8220/21/23/8131
64,34719782,10.1002/path.5828,https://onlinelibrary.wiley.com/doi/10.1002/path.5828
65,34885222,10.3390/cancers13236113,https://www.mdpi.com/2072-6694/13/23/6113
66,35099394,10.2196/32949,https://medinform.jmir.org/2022/3/e32949
67,34886533,10.3390/ijerph182312807,https://www.mdpi.com/1660-4601/18/23/12807
68,34886532,10.3390/ijerph182312806,https://www.mdpi.com/1660-4601/18/23/12806
69,34884121,10.3390/s21238118,https://www.mdpi.com/1424-8220/21/23/8118
70,34876935,10.1016/j.procs.2021.10.081,https://www.sciencedirect.com/science/article/pii/S1877050921021220?via%3Dihub
71,34762815,10.1080/00325481.2021.2003150,https://www.tandfonline.com/doi/full/10.1080/00325481.2021.2003150
72,34884095,10.3390/s21238091,https://www.mdpi.com/1424-8220/21/23/8091
73,34943501,10.3390/diagnostics11122264,https://www.mdpi.com/2075-4418/11/12/2264
74,34945760,10.3390/jpm11121288,https://www.mdpi.com/2075-4426/11/12/1288
75,34886497,10.3390/ijerph182312772,https://www.mdpi.com/1660-4601/18/23/12772
76,34943504,10.3390/diagnostics11122267,https://www.mdpi.com/2075-4418/11/12/2267
77,35135205,10.3934/mbe.2022060,http://www.aimspress.com/article/doi/10.3934/mbe.2022060
78,34884099,10.3390/s21238095,https://www.mdpi.com/1424-8220/21/23/8095
79,34884102,10.3390/s21238099,https://www.mdpi.com/1424-8220/21/23/8099
80,34859963,10.1002/cam4.4465,https://onlinelibrary.wiley.com/doi/10.1002/cam4.4465
81,34860663,10.2196/23440,https://formative.jmir.org/2021/12/e23440
82,34860674,10.2196/22798,https://medinform.jmir.org/2021/12/e22798
83,34884390,10.3390/jcm10235688,https://www.mdpi.com/2077-0383/10/23/5688
84,34943494,10.3390/diagnostics11122257,https://www.mdpi.com/2075-4418/11/12/2257
85,34941828,10.3390/vetsci8120301,https://www.mdpi.com/2306-7381/8/12/301
86,34860677,10.2196/27024,https://mhealth.jmir.org/2021/12/e27024
87,34946895,10.3390/genes12121946,https://www.mdpi.com/2073-4425/12/12/1946
88,34860679,10.2196/30304,https://www.researchprotocols.org/2021/12/e30304
89,34884029,10.3390/s21238025,https://www.mdpi.com/1424-8220/21/23/8025
90,34885164,10.3390/cancers13236054,https://www.mdpi.com/2072-6694/13/23/6054
91,34940038,10.3390/dj9120141,https://www.mdpi.com/2304-6767/9/12/141
92,34885175,10.3390/cancers13236065,https://www.mdpi.com/2072-6694/13/23/6065
93,34850585,10.1111/aos.15071,https://onlinelibrary.wiley.com/doi/10.1111/aos.15071
94,34940725,10.3390/jimaging7120258,https://www.mdpi.com/2313-433X/7/12/258
95,34792800,10.1002/mp.15362,https://aapm.onlinelibrary.wiley.com/doi/epdf/10.1002/mp.15362
96,34853071,10.1158/0008-5472.CAN-21-2843,https://aacrjournals.org/cancerres/article/82/2/334/675486/Prostate-Cancer-Risk-Stratification-via
97,35146433,10.1148/ryai.210026,https://pubs.rsna.org/doi/10.1148/ryai.210026
98,34945740,10.3390/jpm11121268,https://www.mdpi.com/2075-4426/11/12/1268
99,34885158,10.3390/cancers13236048,https://www.mdpi.com/2072-6694/13/23/6048
100,34945743,10.3390/jpm11121271,https://www.mdpi.com/2075-4426/11/12/1271
101,34757954,10.1088/1741-2552/ac387f,"https://validate.perfdrive.com/?ssa=7bde5b22-d3f4-4b65-bb0b-5c635dfae0b3&ssb=95222285041&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1741-2552%2Fac387f&ssi=23cb8a69-8427-4e55-991a-2aabec691fb7&ssk=support@shieldsquare.com&ssm=61124014848145222108499030424248&ssn=7db046a3bbd53e2bb7e01e0eb692430f7f3a46fa7b64-7457-4fc0-b29db2&sso=b6759e49-513b5e1ef46f1ed33ea3050d0ca1d1d305d811e67a12c375&ssp=38116498511654642684165465148736473&ssq=35851398846645025744288466748800579884811&ssr=MTI5LjMxLjIzMC43OQ==&sst=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/102.0.5005.63%20Safari/537.36&ssv=&ssw=&ssx=W10="
102,34851764,10.1177/0271678X211063802,https://journals.sagepub.com/doi/10.1177/0271678X211063802
103,34880677,10.2147/CMAR.S337516,https://www.dovepress.com/supervised-learning-based-systemic-inflammatory-markers-enable-accurat-peer-reviewed-fulltext-article-CMAR
104,34943479,10.3390/diagnostics11122242,https://www.mdpi.com/2075-4418/11/12/2242
105,34847802,10.1080/14767058.2021.2005573,https://www.tandfonline.com/doi/full/10.1080/14767058.2021.2005573
106,34884008,10.3390/s21238007,https://www.mdpi.com/1424-8220/21/23/8007
107,35135200,10.3934/mbe.2022055,http://www.aimspress.com/article/doi/10.3934/mbe.2022055
108,34854263,10.1002/acr2.11352,https://onlinelibrary.wiley.com/doi/10.1002/acr2.11352
109,34847294,10.1111/jch.14397,https://onlinelibrary.wiley.com/doi/10.1111/jch.14397
110,34886377,10.3390/ijerph182312652,https://www.mdpi.com/1660-4601/18/23/12652
111,34884000,10.3390/s21237996,https://www.mdpi.com/1424-8220/21/23/7996
112,34886378,10.3390/ijerph182312649,https://www.mdpi.com/1660-4601/18/23/12649
113,34883977,10.3390/s21237975,https://www.mdpi.com/1424-8220/21/23/7975
114,34886312,10.3390/ijerph182312586,https://www.mdpi.com/1660-4601/18/23/12586
115,34868624,10.1177/20552076211060659,https://journals.sagepub.com/doi/10.1177/20552076211060659
116,34944430,10.3390/biom11121786,https://www.mdpi.com/2218-273X/11/12/1786
117,34852047,10.5935/0004-2749.20220051,http://aboonline.org.br/previous-numbers
118,34885112,10.3390/cancers13236002,https://www.mdpi.com/2072-6694/13/23/6002
119,35154388,10.1177/17562848211054710,https://journals.sagepub.com/doi/10.1177/17562848211054710
120,34885124,10.3390/cancers13236013,https://www.mdpi.com/2072-6694/13/23/6013
121,34850620,10.4081/jphr.2021.2601,https://www.jphres.org/index.php/jphres/article/view/2601
122,34943859,10.3390/cells10123353,https://www.mdpi.com/2073-4409/10/12/3353
123,34945322,10.3390/mi12121473,https://www.mdpi.com/2072-666X/12/12/1473
124,34842346,10.1111/ocr.12542,https://onlinelibrary.wiley.com/doi/10.1111/ocr.12542
125,34883976,10.3390/s21237972,https://www.mdpi.com/1424-8220/21/23/7972
126,34940346,10.3390/bioengineering8120193,https://www.mdpi.com/2306-5354/8/12/193
127,34949526,10.1016/j.jagp.2021.11.011,https://www.sciencedirect.com/science/article/abs/pii/S1064748121005509?via%3Dihub
128,34883946,10.3390/s21237942,https://www.mdpi.com/1424-8220/21/23/7942
129,34883949,10.3390/s21237943,https://www.mdpi.com/1424-8220/21/23/7943
130,34839541,10.1111/all.15192,https://onlinelibrary.wiley.com/doi/10.1111/all.15192
131,34841722,10.1002/cam4.4460,https://onlinelibrary.wiley.com/doi/10.1002/cam4.4460
132,34886225,10.3390/ijerph182312499,https://www.mdpi.com/1660-4601/18/23/12499
133,34947836,10.3390/life11121305,https://www.mdpi.com/2075-1729/11/12/1305
134,34883920,10.3390/s21237916,https://www.mdpi.com/1424-8220/21/23/7916
135,34938571,10.1049/htl2.12018,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/htl2.12018
136,34842542,10.2196/32900,https://www.jmir.org/2021/11/e32900
137,34944587,10.3390/biomedicines9121771,https://www.mdpi.com/2227-9059/9/12/1771
138,34837083,10.1038/s41588-021-00962-4,https://www.nature.com/articles/s41588-021-00962-4
139,34883878,10.3390/s21237877,https://www.mdpi.com/1424-8220/21/23/7877
140,34883868,10.3390/s21237864,https://www.mdpi.com/1424-8220/21/23/7864
141,34943824,10.3390/cells10123318,https://www.mdpi.com/2073-4409/10/12/3318
142,34943443,10.3390/diagnostics11122208,https://www.mdpi.com/2075-4418/11/12/2208
143,34943444,10.3390/diagnostics11122209,https://www.mdpi.com/2075-4418/11/12/2209
144,34943449,10.3390/diagnostics11122212,https://www.mdpi.com/2075-4418/11/12/2212
145,34883850,10.3390/s21237851,https://www.mdpi.com/1424-8220/21/23/7851
146,34626168,10.2196/26456,https://medinform.jmir.org/2021/11/e26456
147,34943436,10.3390/diagnostics11122200,https://www.mdpi.com/2075-4418/11/12/2200
148,34943434,10.3390/diagnostics11122197,https://www.mdpi.com/2075-4418/11/12/2197
149,34946357,10.3390/healthcare9121632,https://www.mdpi.com/2227-9032/9/12/1632
150,34821396,10.1002/lary.29960,https://onlinelibrary.wiley.com/doi/10.1002/lary.29960
151,34885026,10.3390/cancers13235916,https://www.mdpi.com/2072-6694/13/23/5916
152,34942856,10.3390/brainsci11121555,https://www.mdpi.com/2076-3425/11/12/1555
153,34883817,10.3390/s21237815,https://www.mdpi.com/1424-8220/21/23/7815
154,34945720,10.3390/jpm11121248,https://www.mdpi.com/2075-4426/11/12/1248
155,35003867,10.1364/BOE.441932,https://opg.optica.org/boe/fulltext.cfm?uri=boe-12-12-7790&id=465393
156,35146435,10.1148/ryai.210085,https://pubs.rsna.org/doi/10.1148/ryai.210085
157,35173809,10.1177/17562864211060029,https://journals.sagepub.com/doi/10.1177/17562864211060029
158,34938819,10.1177/23259671211046916,https://journals.sagepub.com/doi/10.1177/23259671211046916
159,34943424,10.3390/diagnostics11122184,https://www.mdpi.com/2075-4418/11/12/2184
160,34886080,10.3390/ijerph182312355,https://www.mdpi.com/1660-4601/18/23/12355
161,34698394,10.1002/path.5819,https://onlinelibrary.wiley.com/doi/10.1002/path.5819
162,34818691,10.1111/iwj.13723,https://onlinelibrary.wiley.com/doi/10.1111/iwj.13723
163,34819630,10.1038/s41374-021-00689-0,https://www.nature.com/articles/s41374-021-00689-0
164,34812577,10.1111/1759-7714.14246,https://onlinelibrary.wiley.com/doi/10.1111/1759-7714.14246
165,34888391,10.1177/23259671211053326,https://journals.sagepub.com/doi/10.1177/23259671211053326
166,34114357,10.1002/art.41899,https://onlinelibrary.wiley.com/doi/10.1002/art.41899
167,34884171,10.3390/jcm10235470,https://www.mdpi.com/2077-0383/10/23/5470
168,34816632,10.1002/ehf2.13724,https://onlinelibrary.wiley.com/doi/10.1002/ehf2.13724
169,34729829,10.1111/add.15730,https://onlinelibrary.wiley.com/doi/10.1111/add.15730
170,34883786,10.3390/s21237782,https://www.mdpi.com/1424-8220/21/23/7782
171,34748660,10.1002/mp.15327,https://aapm.onlinelibrary.wiley.com/doi/10.1002/mp.15327
172,34884192,10.3390/jcm10235481,https://www.mdpi.com/2077-0383/10/23/5481
173,34811957,10.1002/cam4.4441,https://onlinelibrary.wiley.com/doi/10.1002/cam4.4441
174,34868489,10.1080/20018525.2021.2004664,https://www.tandfonline.com/doi/full/10.1080/20018525.2021.2004664
175,34883800,10.3390/s21237784,https://www.mdpi.com/1424-8220/21/23/7784
176,35003865,10.1364/BOE.441590,https://opg.optica.org/boe/fulltext.cfm?uri=boe-12-12-7765&id=465384
177,34741788,10.1111/apm.13190,https://onlinelibrary.wiley.com/doi/10.1111/apm.13190
178,34811809,10.1002/jcla.24122,https://onlinelibrary.wiley.com/doi/10.1002/jcla.24122
179,34807501,10.1002/acm2.13470,https://aapm.onlinelibrary.wiley.com/doi/10.1002/acm2.13470
180,34830732,10.3390/jcm10225450,https://www.mdpi.com/2077-0383/10/22/5450
181,34833156,10.3390/life11111281,https://www.mdpi.com/2075-1729/11/11/1281
182,34811930,10.1002/aur.2636,https://onlinelibrary.wiley.com/doi/10.1002/aur.2636
183,34811383,10.1038/s41598-021-01913-z,https://www.nature.com/articles/s41598-021-01913-z
184,34833827,10.3390/s21227751,https://www.mdpi.com/1424-8220/21/22/7751
185,34800337,10.1111/epi.17127,https://onlinelibrary.wiley.com/doi/10.1111/epi.17127
186,34829497,10.3390/diagnostics11112150,https://www.mdpi.com/2075-4418/11/11/2150
187,34831960,10.3390/ijerph182212191,https://www.mdpi.com/1660-4601/18/22/12191
188,34828641,10.3390/healthcare9111596,https://www.mdpi.com/2227-9032/9/11/1596
189,35003863,10.1364/BOE.444535,https://opg.optica.org/boe/fulltext.cfm?uri=boe-12-12-7732&id=465007
190,34797422,10.1007/s00401-021-02386-0,https://link.springer.com/article/10.1007/s00401-021-02386-0
191,34899079,10.1002/cpe.6725,https://onlinelibrary.wiley.com/doi/10.1002/cpe.6725
192,34833779,10.3390/s21227709,https://www.mdpi.com/1424-8220/21/22/7709
193,34829494,10.3390/diagnostics11112147,https://www.mdpi.com/2075-4418/11/11/2147
194,34806994,10.2196/29554,https://www.jmir.org/2021/11/e29554
195,34797711,10.1126/sciadv.abj0852,https://www.science.org/doi/10.1126/sciadv.abj0852
196,34833780,10.3390/s21227710,https://www.mdpi.com/1424-8220/21/22/7710
197,34830682,10.3390/jcm10225400,https://www.mdpi.com/2077-0383/10/22/5400
198,34901426,10.7717/peerj-cs.764,https://peerj.com/articles/cs-764/
199,34806993,10.2196/27674,https://mhealth.jmir.org/2021/11/e27674
200,34830681,10.3390/jcm10225399,https://www.mdpi.com/2077-0383/10/22/5399
201,34806984,10.2196/30079,https://medinform.jmir.org/2021/11/e30079
202,34831930,10.3390/ijerph182212175,https://www.mdpi.com/1660-4601/18/22/12175
203,34792857,10.1111/cns.13758,https://onlinelibrary.wiley.com/doi/10.1111/cns.13758
204,34830948,10.3390/cancers13225787,https://www.mdpi.com/2072-6694/13/22/5787
205,34828625,10.3390/healthcare9111579,https://www.mdpi.com/2227-9032/9/11/1579
206,34796544,10.1111/jocs.16076,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jocs.16076
207,34792476,10.2196/30066,https://medinform.jmir.org/2021/11/e30066
208,34903005,10.3934/mbe.2022028,http://www.aimspress.com/article/doi/10.3934/mbe.2022028
209,34829478,10.3390/diagnostics11112131,https://www.mdpi.com/2075-4418/11/11/2131
210,34867726,10.3389/fneur.2021.745475,https://www.frontiersin.org/articles/10.3389/fneur.2021.745475/full
211,34716589,10.1002/ijc.33860,https://onlinelibrary.wiley.com/doi/10.1002/ijc.33860
212,34830910,10.3390/cancers13225761,https://www.mdpi.com/2072-6694/13/22/5761
213,34869020,10.3389/fonc.2021.774248,https://www.frontiersin.org/articles/10.3389/fonc.2021.774248/full
214,34787462,10.1128/Spectrum.00802-21,https://journals.asm.org/doi/10.1128/Spectrum.00802-21
215,34829480,10.3390/diagnostics11112133,https://www.mdpi.com/2075-4418/11/11/2133
216,34788156,10.1152/jn.00220.2021,https://journals.physiology.org/doi/full/10.1152/jn.00220.2021
217,34833710,10.3390/s21227634,https://www.mdpi.com/1424-8220/21/22/7634
218,34833704,10.3390/s21227628,https://www.mdpi.com/1424-8220/21/22/7628
219,34833679,10.3390/s21227602,https://www.mdpi.com/1424-8220/21/22/7602
220,34834566,10.3390/jpm11111213,https://www.mdpi.com/2075-4426/11/11/1213
221,34828220,10.3390/e23111522,https://www.mdpi.com/1099-4300/23/11/1522
222,34830891,10.3390/cancers13225731,https://www.mdpi.com/2072-6694/13/22/5731
223,34786761,10.1111/his.14571,https://onlinelibrary.wiley.com/doi/10.1111/his.14571
224,34783559,10.1021/acs.jproteome.1c00525,https://pubs.acs.org/doi/10.1021/acs.jproteome.1c00525
225,34869405,10.3389/fmed.2021.694520,https://www.frontiersin.org/articles/10.3389/fmed.2021.694520/full
226,34831773,10.3390/ijerph182212013,https://www.mdpi.com/1660-4601/18/22/12013
227,34830608,10.3390/jcm10225326,https://www.mdpi.com/2077-0383/10/22/5326
228,34830612,10.3390/jcm10225330,https://www.mdpi.com/2077-0383/10/22/5330
229,34725829,10.1002/mp.15333,https://aapm.onlinelibrary.wiley.com/doi/10.1002/mp.15333
230,34867218,10.3389/fnsys.2021.716897,https://www.frontiersin.org/articles/10.3389/fnsys.2021.716897/full
231,34869272,10.3389/fbioe.2021.761548,https://www.frontiersin.org/articles/10.3389/fbioe.2021.761548/full
232,34833658,10.3390/s21227584,https://www.mdpi.com/1424-8220/21/22/7584
233,34827181,10.3390/biology10111185,https://www.mdpi.com/2079-7737/10/11/1185
234,34829467,10.3390/diagnostics11112119,https://www.mdpi.com/2075-4418/11/11/2119
235,34833650,10.3390/s21227574,https://www.mdpi.com/1424-8220/21/22/7574
236,34829456,10.3390/diagnostics11112109,https://www.mdpi.com/2075-4418/11/11/2109
237,34902994,10.3934/mbe.2022017,http://www.aimspress.com/article/doi/10.3934/mbe.2022017
238,34821669,10.3390/bios11110453,https://www.mdpi.com/2079-6374/11/11/453
239,34829448,10.3390/diagnostics11112102,https://www.mdpi.com/2075-4418/11/11/2102
240,34827167,10.3390/biology10111174,https://www.mdpi.com/2079-7737/10/11/1174
241,34833628,10.3390/s21227553,https://www.mdpi.com/1424-8220/21/22/7553
242,34829450,10.3390/diagnostics11112103,https://www.mdpi.com/2075-4418/11/11/2103
243,35005444,10.1002/jsp2.1178,https://onlinelibrary.wiley.com/doi/10.1002/jsp2.1178
244,34833616,10.3390/s21227540,https://www.mdpi.com/1424-8220/21/22/7540
245,34833586,10.3390/s21227510,https://www.mdpi.com/1424-8220/21/22/7510
246,34829438,10.3390/diagnostics11112091,https://www.mdpi.com/2075-4418/11/11/2091
247,34841147,10.1021/acsomega.1c04204,https://pubs.acs.org/doi/10.1021/acsomega.1c04204
248,34833597,10.3390/s21227521,https://www.mdpi.com/1424-8220/21/22/7521
249,34833602,10.3390/s21227528,https://www.mdpi.com/1424-8220/21/22/7528
250,34833590,10.3390/s21227517,https://www.mdpi.com/1424-8220/21/22/7517
251,35003751,10.1093/comnet/cnab039,https://academic.oup.com/comnet/article/9/6/cnab039/6426106
252,34830824,10.3390/cancers13225670,https://www.mdpi.com/2072-6694/13/22/5670
253,34868275,10.3389/fgene.2021.784814,https://www.frontiersin.org/articles/10.3389/fgene.2021.784814/full
254,34767663,10.1002/uog.24810,https://obgyn.onlinelibrary.wiley.com/doi/10.1002/uog.24810
255,34833573,10.3390/s21227500,https://www.mdpi.com/1424-8220/21/22/7500
256,35003848,10.1364/BOE.444336,https://opg.optica.org/boe/fulltext.cfm?uri=boe-12-12-7500&id=464782
257,34689378,10.1111/cas.15173,https://onlinelibrary.wiley.com/doi/10.1111/cas.15173
258,34830526,10.3390/jcm10225244,https://www.mdpi.com/2077-0383/10/22/5244
259,34833448,10.3390/medicina57111230,https://www.mdpi.com/1648-9144/57/11/1230
260,34829433,10.3390/diagnostics11112086,https://www.mdpi.com/2075-4418/11/11/2086
261,34831575,10.3390/ijerph182211816,https://www.mdpi.com/1660-4601/18/22/11816
262,34804144,10.1155/2021/5478157,https://www.hindawi.com/journals/cin/2021/5478157/
263,34833549,10.3390/s21227473,https://www.mdpi.com/1424-8220/21/22/7473
264,34833534,10.3390/s21227458,https://www.mdpi.com/1424-8220/21/22/7458
265,35146432,10.1148/ryai.2021210015,https://pubs.rsna.org/doi/10.1148/ryai.2021210015
266,34727036,10.1109/TNSRE.2021.3125023,https://ieeexplore.ieee.org/document/9599660
267,34821747,10.3390/bioengineering8110181,https://www.mdpi.com/2306-5354/8/11/181
268,35146437,10.1148/ryai.2021210211,https://pubs.rsna.org/doi/10.1148/ryai.2021210211
269,34833556,10.3390/s21227480,https://www.mdpi.com/1424-8220/21/22/7480
270,34757319,10.2196/30313,https://formative.jmir.org/2021/11/e30313
271,35146430,10.1148/ryai.2021200152,https://pubs.rsna.org/doi/10.1148/ryai.2021200152
272,34757322,10.2196/30277,https://medinform.jmir.org/2021/11/e30277
273,34836264,10.3390/nu13114009,https://www.mdpi.com/2072-6643/13/11/4009
274,34756065,10.1128/Spectrum.00913-21,https://journals.asm.org/doi/10.1128/Spectrum.00913-21
275,34580909,10.1111/his.14574,https://onlinelibrary.wiley.com/doi/10.1111/his.14574
276,34834515,10.3390/jpm11111163,https://www.mdpi.com/2075-4426/11/11/1163
277,34830759,10.3390/cancers13225600,https://www.mdpi.com/2072-6694/13/22/5600
278,35003844,10.1364/BOE.439991,https://opg.optica.org/boe/fulltext.cfm?uri=boe-12-12-7434&id=464725
279,34902984,10.3934/mbe.2022007,http://www.aimspress.com/article/doi/10.3934/mbe.2022007
280,34751044,10.2217/fon-2021-0522,https://www.futuremedicine.com/doi/10.2217/fon-2021-0522
281,34751010,10.3346/jkms.2021.36.e282,https://jkms.org/DOIx.php?id=10.3346/jkms.2021.36.e282
282,34790417,10.1155/2021/6672603,https://www.hindawi.com/journals/ccrp/2021/6672603/
283,34748665,10.1111/den.14187,https://onlinelibrary.wiley.com/doi/10.1111/den.14187
284,34587357,10.1002/lt.26318,https://aasldpubs.onlinelibrary.wiley.com/doi/10.1002/lt.26318
285,34726612,10.2196/28999,https://www.jmir.org/2021/11/e28999
286,34726283,10.1111/opo.12909,https://onlinelibrary.wiley.com/doi/10.1111/opo.12909
287,34778477,10.1177/23259671211050613,https://journals.sagepub.com/doi/10.1177/23259671211050613
288,34105306,10.1002/art.41885,https://onlinelibrary.wiley.com/doi/10.1002/art.41885
289,34723819,10.2196/27875,https://www.jmir.org/2021/11/e27875
290,34725953,10.1002/cam4.4383,https://onlinelibrary.wiley.com/doi/10.1002/cam4.4383
291,34829372,10.3390/diagnostics11112025,https://www.mdpi.com/2075-4418/11/11/2025
292,34725972,10.1002/hep4.1846,https://aasldpubs.onlinelibrary.wiley.com/doi/10.1002/hep4.1846
293,34795770,10.12779/dnd.2021.20.4.70,https://dnd.or.kr/DOIx.php?id=10.12779/dnd.2021.20.4.70
